train_months,test_months,test_start,test_end,oos_total_return,oos_sharpe,oos_max_drawdown,oos_information_ratio
12,3,2023-01-04,2023-04-04,-0.023020528080000213,-0.838291824884983,-0.056634245675781125,-2.4049353060993823
12,3,2023-04-04,2023-07-04,0.03701099732000013,1.7397297859885732,-0.025545118519810006,2.9923169347425067
12,3,2023-07-04,2023-10-04,-0.014388885839999976,-0.5264531048632588,-0.041942734586956076,1.1549371257076557
12,3,2023-10-04,2024-01-04,-0.0009790754280918357,-0.14897142354893714,-0.035081044654361904,3.731931031529711
12,3,2024-01-04,2024-04-04,0.08437199553000041,1.8495251882552888,-0.0690259057799999,0.5957441537298274
12,3,2024-04-04,2024-07-04,-0.08995755974999975,-2.042548001632394,-0.10098190472423751,-1.3486577464090286
12,3,2024-07-04,2024-10-04,0.07474749236000022,2.0206284970177877,-0.05965450763999969,-2.5348063275421744
12,3,2024-10-04,2025-01-04,-0.12687645855045904,-2.9785520199262234,-0.13783860050393282,-1.7765007711618035
12,3,2025-01-04,2025-04-04,0.07878689826000018,1.8263974239466345,-0.054344206981116416,1.4993754110490587
12,3,2025-04-04,2025-07-04,0.03831780405000029,2.049365541888129,-0.02306037113138637,0.0964076176324557
12,3,2025-07-04,2025-10-04,0.07847511203000002,2.01738565364436,-0.060870269666109644,-2.1319356040054203
12,3,2025-10-04,2026-01-04,0.007313988016154127,0.378168308403648,-0.06582275049761499,0.3554700703101076
12,3,2026-01-04,2026-04-04,-0.040494384099204916,-0.5284312645117771,-0.12007058785319236,0.47769003595262777
12,3,2026-04-04,2026-06-24,-0.11246105413000052,-3.6090248450973528,-0.13529301677020777,-5.201257353614709
12,6,2023-01-04,2023-07-04,-0.029192683820000176,-0.3801498707563631,-0.11445512651346712,-0.45382589549116376
12,6,2023-07-04,2024-01-04,-0.018764831649999314,-0.3737533210390427,-0.05801548025906933,2.2210019099331135
12,6,2024-01-04,2024-07-04,-0.010638267030000703,-0.01566078598042382,-0.1020570939174058,-0.2976968207855711
12,6,2024-07-04,2025-01-04,-0.0424437732899996,-0.35115029535928777,-0.13907396419288964,-1.6091662431385982
12,6,2025-01-04,2025-07-04,0.10664156898000088,0.9337915631759154,-0.18017545936621226,0.6965844608926046
12,6,2025-07-04,2026-01-04,0.10204094133000008,1.2401652055984305,-0.07635151858816003,-0.6476075005204618
12,6,2026-01-04,2026-06-24,-0.10758749881292429,-1.1463744868097163,-0.15722319872954793,-2.1810743294156514
24,3,2024-01-04,2024-04-04,0.08437199553000041,1.8495251882552888,-0.0690259057799999,0.5957441537298274
24,3,2024-04-04,2024-07-04,-0.08995755974999975,-2.042548001632394,-0.10098190472423751,-1.3486577464090286
24,3,2024-07-04,2024-10-04,0.07474749236000022,2.0206284970177877,-0.05965450763999969,-2.5348063275421744
24,3,2024-10-04,2025-01-04,-0.12687645855045904,-2.9785520199262234,-0.13783860050393282,-1.7765007711618035
24,3,2025-01-04,2025-04-04,0.07878689826000018,1.8263974239466345,-0.054344206981116416,1.4993754110490587
24,3,2025-04-04,2025-07-04,0.03831780405000029,2.049365541888129,-0.02306037113138637,0.0964076176324557
24,3,2025-07-04,2025-10-04,0.07847511203000002,2.01738565364436,-0.060870269666109644,-2.1319356040054203
24,3,2025-10-04,2026-01-04,0.007313988016154127,0.378168308403648,-0.06582275049761499,0.3554700703101076
24,3,2026-01-04,2026-04-04,-0.040494384099204916,-0.5284312645117771,-0.12007058785319236,0.47769003595262777
24,3,2026-04-04,2026-06-24,-0.11246105413000052,-3.6090248450973528,-0.13529301677020777,-5.201257353614709
24,6,2024-01-04,2024-07-04,-0.010638267030000703,-0.01566078598042382,-0.1020570939174058,-0.2976968207855711
24,6,2024-07-04,2025-01-04,-0.0424437732899996,-0.35115029535928777,-0.13907396419288964,-1.6091662431385982
24,6,2025-01-04,2025-07-04,0.10664156898000088,0.9337915631759154,-0.18017545936621226,0.6965844608926046
24,6,2025-07-04,2026-01-04,0.10204094133000008,1.2401652055984305,-0.07635151858816003,-0.6476075005204618
24,6,2026-01-04,2026-06-24,-0.10758749881292429,-1.1463744868097163,-0.15722319872954793,-2.1810743294156514
