symbol,reason
920000.BJ,no_bars_after_update
920002.BJ,no_bars_after_update
920009.BJ,no_bars_after_update
920035.BJ,no_bars_after_update
920036.BJ,no_bars_after_update
920057.BJ,no_bars_after_update
920060.BJ,no_bars_after_update
920062.BJ,no_bars_after_update
920069.BJ,no_bars_after_update
920076.BJ,no_bars_after_update
920087.BJ,no_bars_after_update
920091.BJ,no_bars_after_update
920139.BJ,no_bars_after_update
920158.BJ,no_bars_after_update
920160.BJ,no_bars_after_update
920171.BJ,no_bars_after_update
920180.BJ,no_bars_after_update
920186.BJ,no_bars_after_update
920206.BJ,no_bars_after_update
920208.BJ,no_bars_after_update
920211.BJ,no_bars_after_update
920225.BJ,no_bars_after_update
920239.BJ,no_bars_after_update
920260.BJ,no_bars_after_update
920267.BJ,no_bars_after_update
920274.BJ,no_bars_after_update
920284.BJ,no_bars_after_update
920339.BJ,no_bars_after_update
920371.BJ,no_bars_after_update
920394.BJ,no_bars_after_update
920395.BJ,no_bars_after_update
920396.BJ,no_bars_after_update
920419.BJ,no_bars_after_update
920493.BJ,no_bars_after_update
920508.BJ,no_bars_after_update
920564.BJ,no_bars_after_update
920576.BJ,no_bars_after_update
920580.BJ,no_bars_after_update
920634.BJ,no_bars_after_update
920675.BJ,no_bars_after_update
920685.BJ,no_bars_after_update
920699.BJ,no_bars_after_update
920701.BJ,no_bars_after_update
920703.BJ,no_bars_after_update
920718.BJ,no_bars_after_update
920726.BJ,no_bars_after_update
920748.BJ,no_bars_after_update
920751.BJ,no_bars_after_update
920770.BJ,no_bars_after_update
920792.BJ,no_bars_after_update
920826.BJ,no_bars_after_update
920837.BJ,no_bars_after_update
920855.BJ,no_bars_after_update
920856.BJ,no_bars_after_update
920866.BJ,no_bars_after_update
920895.BJ,no_bars_after_update
920932.BJ,no_bars_after_update
920953.BJ,no_bars_after_update
920961.BJ,no_bars_after_update
920971.BJ,no_bars_after_update
